# RELEASE GROUPS    STARTING LENGTH    NUMBER INTERVALS    INTERVAL LENGTH
        54            2                54                2
#
#
# TAG RECOVERIES
#    1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54
     8  28   4  15  35 131  19  80 119  82  20 143 176 111 301 177 197 103  15   0 129  40 118  71 119 110 123 136  94 142 149 105 113 127  65  25  65  68   3   0   2   0  74   4  24 150   0  55  74   5   4  75   0   0
#
#
#---------------------------------
#   1 - RELEASE REGION    YEAR    MONTH
        52             5         1980             11            2
        52             5         1981              2            1
        52             5         1981              5            1
        52             6         1979              5           92
        52             6         1979              8           55
        52             6         1979             11            4
        52             6         1980              5            1
        52             6         1980              8            4
        52             7         1979             11            2
        52             7         1980              2            1
        52             7         1980              8            1
        52             7         1980             11            1
        52             9         1979              8            1
        52             9         1980              2            1
        52             9         1980             11            1
        52            13         1979             11            1
        52            13         1980              2            1
        52            13         1980              5            1
        52            13         1980              8            3
        54             5         1980              2            3
        54             5         1980              5            2
        54             6         1979              5          131
        54             6         1979              8          127
        54             6         1979             11           12
        54             6         1980              2            1
        54             6         1980              5            3
        54             6         1980              8            3
        54             6         1981              8            1
        54             7         1979             11            2
        54             7         1980              5            1
        54             7         1980              8            3
        54             9         1979             11            2
        54             9         1980              2            1
        54             9         1980              5            1
        54            13         1980              2            1
        54            13         1980              5            1
        54            13         1980              8            4
        56             5         1979             11            1
        56             5         1980              2            2
        56             6         1979              5           94
        56             6         1979              8           96
        56             6         1979             11            9
        56             6         1980              5            3
        56             6         1980              8            1
        56             6         1981              8            1
        56             7         1979              8            1
        56             7         1980             11            2
        56             9         1980              2            1
        56            13         1980              8            2
        56            13         1980             11            4
        58             5         1979             11            1
        58             5         1980              2            1
        58             6         1979              5           19
        58             6         1979              8           26
        58             6         1979             11            3
        58             6         1980              8            1
        58             7         1979             11            1
        58            13         1980              5            1
        60             5         1980              2            1
        60             6         1979              5            3
        60             6         1979              8           10
        60             6         1979             11            2
        60             6         1980              5            1
        60             7         1979              8            1
        62             5         1979             11            1
        62             6         1979              5            5
        62             6         1979              8           11
        62             6         1979             11            3
        62             6         1980              8            1
        62             7         1979             11            2
        62             7         1980             11            1
        64             5         1979             11            1
        64             6         1979              5            1
        64             6         1979              8            7
        64             6         1979             11            1
        64             6         1980              5            1
        66             5         1979             11            1
        66             6         1979              5            1
        66             6         1979              8            2
#
#
#---------------------------------
#   7 - RELEASE REGION    YEAR    MONTH
             2         1979       11
0 0 0 0 0 0 0 0 0 0 0 0 18 188 297 202 148 60 18 16 23 12 9 74 162 199 139 68 18 3 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        32             7         1980             11            1
        48             1         1980              5            1
        48             1         1980              8            1
        48             1         1980             11            1
        48             5         1980              2            2
        48             5         1980              5            1
        50             1         1980              5            1
        50             5         1980              2            1
        50             5         1980              5            1
        50            13         1980              8            1
        50            13         1980             11            1
        52             5         1979             11            1
        52             5         1980              2            2
        52             5         1980              5            3
        52             5         1980             11            1
        52            13         1981              5            1
        54             5         1980              2            2
        54            13         1980              8            1
        56             5         1980              2            3
#
#
#---------------------------------
